,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_batch_size,param_epochs,param_optimizer,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,25.9012675285,0.156542003155,-14.2708185336,-9.63012608757,10,10,SGD,"{'epochs': 10, 'optimizer': 'SGD', 'batch_size': 10}",9,-14.8595411913,-9.2377669151,-14.160261271,-9.58386341656,-14.0104236268,-9.57672714052,-14.784614564,-9.54460919001,-15.2840918794,-9.7479875225,-14.4099935689,-10.0191568428,-13.5858642663,-9.85860640923,-13.070890274,-9.47229126387,1.54328813907,0.0183245956743,0.674998170298,0.225998306839
1,118.782673061,0.222694516182,-15.3947969837,-0.0191783661377,10,50,SGD,"{'epochs': 50, 'optimizer': 'SGD', 'batch_size': 10}",16,-15.6837225284,-0.0214084150792,-14.9594664875,-0.0035680554127,-15.5838290311,-0.0178403596665,-15.6837231066,-0.0214086628883,-15.4339827145,-0.0285447737137,-15.7336805513,-0.0285447737137,-15.2591897634,-0.0214086628883,-14.8203663353,-0.010703225739,0.362373858241,0.027415463219,0.327257230743,0.00796618489507
2,242.003973812,0.321377933025,-15.6445616126,-9.99200722163e-16,10,100,SGD,"{'epochs': 100, 'optimizer': 'SGD', 'batch_size': 10}",18,-15.9584425102,-9.99200722163e-16,-15.6088022609,-9.99200722163e-16,-16.2331567103,-9.99200722163e-16,-15.5588552232,-9.99200722163e-16,-15.33408517,-9.99200722163e-16,-16.1832160323,-9.99200722163e-16,-15.4340006375,-9.99200722163e-16,-14.8453564783,-9.99200722163e-16,7.01720079442,0.0445562766724,0.436301859213,0.0
3,13.6168352365,0.283746004105,-13.9149163961,-11.5162908221,20,10,SGD,"{'epochs': 10, 'optimizer': 'SGD', 'batch_size': 20}",7,-13.9854688982,-11.2751631489,-13.5858752514,-11.4499940644,-13.9604684948,-11.4927904916,-14.2851540154,-11.3465143448,-14.8095970444,-11.4749707827,-14.3101318705,-11.6498061587,-13.6608122856,-11.6640785456,-12.7209599999,-11.7770090399,0.215540555957,0.0513409956837,0.580770959662,0.15861235124
4,63.5232420266,0.339473158121,-15.2980018651,-2.11004539673,20,50,SGD,"{'epochs': 50, 'optimizer': 'SGD', 'batch_size': 20}",14,-15.6087941667,-2.10160561925,-15.1093197421,-1.86611181433,-15.2591637462,-1.99812870816,-15.9334646551,-1.94460936383,-14.9095067302,-2.29784230652,-15.7336620501,-2.04093769103,-14.9344880543,-2.30497610446,-14.8953246141,-2.32615156629,0.243097197651,0.0313947303909,0.382838479794,0.167411416978
5,125.922955245,0.373181134462,-15.5540196172,-9.99200722163e-16,20,100,SGD,"{'epochs': 100, 'optimizer': 'SGD', 'batch_size': 20}",17,-16.2581276274,-9.99200722163e-16,-15.0843424652,-9.99200722163e-16,-15.3840397239,-9.99200722163e-16,-15.2841468047,-9.99200722163e-16,-15.8085852084,-9.99200722163e-16,-16.2581293619,-9.99200722163e-16,-15.7836391522,-9.99200722163e-16,-14.5704353979,-9.99200722163e-16,0.76138496758,0.0489617122551,0.547533524669,0.0
6,10.4792791009,0.374969869852,-13.5621118373,-12.5068581775,40,10,SGD,"{'epochs': 10, 'optimizer': 'SGD', 'batch_size': 40}",2,-14.1103055609,-12.3705417877,-13.236209563,-12.6524147785,-13.6607723925,-12.538237914,-14.4100080229,-12.377679468,-13.9354894834,-12.4097961794,-13.3611063546,-12.5560850471,-13.0114788249,-12.4490515624,-12.770952436,-12.701058683,0.177509695942,0.0453795991005,0.529632504399,0.11744172297
7,46.6687430143,0.466789603233,-14.5362195121,-6.89122333482,40,50,SGD,"{'epochs': 50, 'optimizer': 'SGD', 'batch_size': 40}",10,-15.1842278683,-6.89710637418,-14.484944479,-6.90424479789,-14.7347051068,-6.90068871992,-15.1842278683,-6.96847549493,-14.7346929654,-6.79007660663,-14.3351212888,-6.64021208407,-14.235229526,-6.93636679595,-13.3957823831,-7.092615805,0.375152652546,0.0452677754415,0.542235133685,0.12353937943
8,95.6977943182,0.589383929968,-15.3510850386,-1.29384891349,40,100,SGD,"{'epochs': 100, 'optimizer': 'SGD', 'batch_size': 40}",15,-15.5088983567,-1.17746613348,-15.059357094,-1.24526158181,-15.4339815581,-1.16319655513,-16.1832085162,-1.07756380344,-14.9594688002,-1.09183718154,-15.7336857547,-1.13465516814,-15.6837456549,-1.20601536776,-14.2455351887,-2.25479551665,1.26434919289,0.0366735674267,0.552414991935,0.366919518106
9,8.54960247874,0.654263168573,-13.5714874023,-12.7807176356,60,10,SGD,"{'epochs': 10, 'optimizer': 'SGD', 'batch_size': 60}",3,-13.8855603686,-12.8986325744,-13.5109278103,-13.0663220099,-14.0603804933,-12.966427775,-14.1602815067,-12.406238945,-14.2851412958,-12.4098065048,-13.1613130001,-12.7023877095,-12.9365504631,-12.9806913233,-12.5710208777,-12.8152342432,0.181995588986,0.0688452746653,0.588340238736,0.238507823043
10,36.6687268317,0.729414016008,-14.1428272569,-9.42943482255,60,50,SGD,"{'epochs': 50, 'optimizer': 'SGD', 'batch_size': 60}",8,-15.0593478435,-9.33411308457,-13.8106395229,-9.45899337195,-13.6358159294,-9.45542614257,-14.7097093287,-9.23420315505,-14.9344591462,-9.52678336848,-14.2102291226,-9.53391807505,-14.0853652863,-9.43401995777,-12.6960057288,-9.45802142501,0.556489233167,0.0987701683639,0.729337366375,0.0935298087772
11,69.8485103548,0.805133670568,-15.2855193255,-4.32268204163,60,100,SGD,"{'epochs': 100, 'optimizer': 'SGD', 'batch_size': 60}",13,-15.9334594516,-4.22105052433,-15.1342814087,-4.43870306095,-15.4839337993,-4.50650016134,-15.9584326814,-4.10686804275,-15.1093110697,-4.33522771931,-14.7596841182,-4.29240783284,-15.3590722757,-4.16039259108,-14.5454446763,-4.52030640042,0.262830601297,0.0634210605328,0.473724442051,0.146040148663
12,7.32639375329,0.796330571175,-13.5433827516,-12.9595599936,80,10,SGD,"{'epochs': 10, 'optimizer': 'SGD', 'batch_size': 80}",1,-13.7606728277,-12.8165553225,-13.1113428359,-12.9878211563,-13.4360208405,-13.0056710979,-14.2102094651,-12.9128892667,-14.3600447967,-12.8450933228,-13.3860830533,-13.1020158631,-13.0364399133,-12.977120955,-13.0458885595,-13.0293129642,0.176533656602,0.0946885855285,0.485569387264,0.0895290300146
13,29.3802292645,0.924209982157,-13.8399886337,-10.6764682872,80,50,SGD,"{'epochs': 50, 'optimizer': 'SGD', 'batch_size': 80}",6,-13.8355954079,-10.7220868053,-13.3610878534,-10.9040569705,-13.7856547299,-10.8862184281,-14.8096138111,-10.5329958934,-14.6098088934,-10.6543052343,-13.8855626813,-10.4758971771,-13.4859933173,-10.6721508806,-12.9459459235,-10.5640349085,0.380514573784,0.144353259393,0.580030279667,0.146559281163
14,57.0502107143,0.972616314888,-14.77973839,-6.64324277122,80,100,SGD,"{'epochs': 100, 'optimizer': 'SGD', 'batch_size': 80}",12,-15.4339624788,-6.73654842377,-14.6597628691,-6.8935393926,-15.0343931148,-6.70087076075,-14.6347977336,-6.42612231627,-15.03437577,-6.29410864397,-14.9344932577,-6.29053860608,-14.4849704963,-6.85073040974,-14.0206024944,-6.95348361654,0.451481636649,0.0897905085434,0.399988090497,0.251846180677
15,6.8691393435,0.978346765041,-13.5839713153,-13.0741843615,100,10,SGD,"{'epochs': 10, 'optimizer': 'SGD', 'batch_size': 100}",4,-13.6358043661,-13.0127993614,-13.2861508192,-13.2054708844,-13.7107361969,-13.0235127792,-14.3850492472,-12.83797968,-14.4100068666,-13.112710943,-13.3611040419,-13.0056678764,-12.8616278829,-13.2340272225,-13.020883952,-13.1613061448,0.0881546072457,0.127281180952,0.538517791884,0.121800698747
16,25.8822529018,1.03771460056,-13.7307125656,-11.3445763523,100,50,SGD,"{'epochs': 50, 'optimizer': 'SGD', 'batch_size': 100}",5,-14.4100086011,-11.3108285867,-13.2861768364,-11.5320477744,-13.5359172286,-11.2608740762,-14.4599666239,-11.425009664,-14.584829882,-11.0967479052,-13.6857727958,-11.314393751,-13.3611121362,-11.2822834825,-12.5210417489,-11.5344255786,0.588756224171,0.124851056208,0.667038174954,0.137846424249
17,50.7104284167,1.00249287486,-14.7641227838,-8.10435688175,100,100,SGD,"{'epochs': 100, 'optimizer': 'SGD', 'batch_size': 100}",11,-14.9844362484,-7.94613432503,-14.1103286873,-8.16734740019,-15.3340736068,-7.93542363316,-15.4339538064,-8.42781817122,-15.0343694102,-8.04960404966,-14.7346877619,-8.12809796462,-14.4849716526,-7.97824583251,-13.9956054084,-8.2021836776,1.32171217916,0.224675197925,0.498961322701,0.154597631569
