,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_criterion,param_loss,param_max_features,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.972157508135,0.0103853642941,-14.1739554749,-13.6614938073,friedman_mse,deviance,sqrt,10,"{'max_features': 'sqrt', 'loss': 'deviance', 'criterion': 'friedman_mse', 'n_estimators': 10}",21,-14.3100283796,-13.7156389563,-13.9603927556,-13.7691613569,-13.7855749436,-13.5729175658,-14.7096197137,-13.5693471975,-14.0602943472,-13.7156401953,-14.2600807637,-13.5229632205,-14.5348001672,-13.6442738005,-13.7705610482,-13.7820081653,0.294068483807,0.00661255485706,0.319203866786,0.0920621668916
1,4.75801175833,0.012202590704,-13.5777156624,-11.6349117214,friedman_mse,deviance,sqrt,100,"{'max_features': 'sqrt', 'loss': 'deviance', 'criterion': 'friedman_mse', 'n_estimators': 100}",5,-13.5109312792,-11.628375606,-13.1113451486,-11.6604857919,-13.411034313,-11.6105321075,-14.5348672339,-11.4820807083,-14.0603677737,-11.5998293455,-13.3860547234,-11.7996382183,-13.4110337348,-11.606961574,-13.1958149529,-11.6913904197,0.895085886743,0.00336202157463,0.448503260409,0.0843986700116
2,8.08714109659,0.0268272459507,-13.8025133327,-9.39195958433,friedman_mse,deviance,sqrt,300,"{'max_features': 'sqrt', 'loss': 'deviance', 'criterion': 'friedman_mse', 'n_estimators': 300}",13,-14.1103153896,-9.30198968225,-12.8366367301,-9.39118891989,-13.4859673,-9.57673118807,-14.7596505848,-9.21992126884,-14.3101133693,-9.37334946886,-13.7856501046,-9.54461571565,-14.0104259394,-9.27700916421,-13.1208543598,-9.45087126689,0.460375835878,0.00867528233796,0.592633906114,0.118409945214
3,12.8001984954,0.0362014174461,-13.9149119873,-7.70963179632,friedman_mse,deviance,sqrt,500,"{'max_features': 'sqrt', 'loss': 'deviance', 'criterion': 'friedman_mse', 'n_estimators': 500}",17,-13.9854515533,-7.65710374654,-12.7617176189,-7.53578647578,-13.7856645587,-7.90686878187,-14.7596540538,-7.71062201704,-14.659755353,-7.73203439706,-13.9354998903,-7.87832070404,-14.0603799151,-7.55362766148,-13.3707795114,-7.70269058673,0.0843033456475,0.00875105415588,0.605973920279,0.125113995558
4,0.467631995678,0.00545725226402,-14.2738528701,-13.8893958044,friedman_mse,deviance,log2,10,"{'max_features': 'log2', 'loss': 'deviance', 'criterion': 'friedman_mse', 'n_estimators': 10}",23,-13.9853613601,-13.8904683849,-13.8355161998,-13.9011718077,-14.0103357462,-13.9761008888,-14.8844311659,-13.7334736989,-14.684632608,-13.8155371561,-14.7096058378,-13.9225798924,-14.010338637,-13.9511258225,-14.0704543356,-13.924708784,0.0124822600845,0.00176593126118,0.385214592229,0.0738098778912
5,1.95563903451,0.010339230299,-13.424733865,-11.7339237603,friedman_mse,deviance,log2,100,"{'max_features': 'log2', 'loss': 'deviance', 'criterion': 'friedman_mse', 'n_estimators': 100}",1,-13.4859545805,-11.6818955286,-12.9115517942,-11.9566362084,-13.6358008972,-11.7354168554,-14.0104080164,-11.7318459915,-13.8355936734,-11.56771346,-13.1363131749,-11.8139072184,-13.3111408156,-11.6140972718,-13.0708520878,-11.7698775481,0.10713667735,0.00186311313639,0.361386076164,0.11290958639
6,5.0499176681,0.0205880105495,-13.6807529903,-9.69434782673,friedman_mse,deviance,log2,300,"{'max_features': 'log2', 'loss': 'deviance', 'criterion': 'friedman_mse', 'n_estimators': 300}",8,-13.910521457,-9.52677651243,-13.03642835,-9.92283347174,-13.7107356187,-9.65522799414,-14.5598566523,-9.54818501011,-14.2851372487,-9.68377268525,-13.3860633958,-9.73372067005,-13.3860790062,-9.59813596862,-13.1708334886,-9.88613030151,0.0662087421192,0.00608265923956,0.505054374598,0.137331287085
7,8.3158762157,0.0334195196629,-13.7775420376,-8.11594087172,friedman_mse,deviance,log2,500,"{'max_features': 'log2', 'loss': 'deviance', 'criterion': 'friedman_mse', 'n_estimators': 500}",12,-14.1103211712,-7.93541347298,-13.0364370225,-8.28508414247,-13.9105324421,-8.22799674272,-14.7097064379,-8.04959116359,-14.0104282521,-8.14236275199,-13.510941108,-8.04602038227,-13.8605882952,-8.04959075057,-13.0708706023,-8.19146756712,0.0692344978233,0.00568636173535,0.521778751485,0.108312049554
8,3.14196714759,0.00580462813377,-13.9179615741,-13.3591138924,friedman_mse,deviance,,10,"{'max_features': None, 'loss': 'deviance', 'criterion': 'friedman_mse', 'n_estimators': 10}",19,-13.7106668175,-13.3374319386,-13.6607226706,-13.2910508527,-13.5857925743,-13.3695472458,-13.9853850647,-13.373115549,-14.6097308416,-13.3873843013,-14.3849677264,-13.1733033721,-13.4359572427,-13.4516121899,-13.9705076496,-13.4894656901,0.0468683405608,0.00134057576532,0.380107936324,0.0910218912066
9,27.2222395837,0.00956442952156,-13.534008343,-11.0693765815,friedman_mse,deviance,,100,"{'max_features': None, 'loss': 'deviance', 'criterion': 'friedman_mse', 'n_estimators': 100}",4,-13.8355942516,-10.9968230245,-13.1363189565,-11.2037717253,-13.5608765825,-11.021799082,-14.5098963168,-11.0895923827,-13.8855441801,-10.8077144356,-13.3361094201,-11.2679897015,-13.2861722111,-10.978980352,-12.7209669428,-11.1883419486,0.245732107102,0.00210432601664,0.510771635538,0.139748370871
10,80.0831899047,0.0211427211761,-13.7307103973,-8.35901163382,friedman_mse,deviance,,300,"{'max_features': None, 'loss': 'deviance', 'criterion': 'friedman_mse', 'n_estimators': 300}",11,-14.2851401395,-8.33146803681,-13.1363328324,-8.52771281917,-13.7606815001,-8.38498870279,-14.0104294084,-8.40283063192,-14.0853467851,-8.01747899528,-13.7856576207,-8.64545782176,-13.4859782851,-8.1173808297,-13.2958021395,-8.44477523314,0.52181765579,0.0043963559352,0.373765874877,0.192435201632
11,144.715759873,0.0320530235767,-13.9149148783,-6.25431969739,friedman_mse,deviance,,500,"{'max_features': None, 'loss': 'deviance', 'criterion': 'friedman_mse', 'n_estimators': 500}",18,-13.8356092838,-6.33691101859,-13.5858706261,-6.43324917556,-14.1352996045,-6.21202759229,-14.2352006179,-6.37972859218,-14.534885157,-5.97296754923,-13.7856645587,-6.50104272402,-13.6608001442,-6.04432783145,-13.5457220839,-6.15430309578,14.5759573825,0.00559095057261,0.329324716745,0.176947833075
12,0.629187047482,0.0052994787693,-14.2114200066,-13.6882537225,friedman_mse,exponential,sqrt,10,"{'max_features': 'sqrt', 'loss': 'exponential', 'criterion': 'friedman_mse', 'n_estimators': 10}",22,-14.2850539934,-13.7227748193,-13.9603927556,-13.7727289993,-13.8105493297,-13.5907575124,-14.6346959772,-13.6014589528,-14.0602943472,-13.7156399475,-14.5847448923,-13.6335731861,-14.5597745533,-13.6835213362,-13.7955535055,-13.7855750262,0.0574088042987,0.00222843437653,0.328777256015,0.0694625974524
13,3.12129491568,0.0127241015434,-13.5777162406,-11.7165306727,friedman_mse,exponential,sqrt,100,"{'max_features': 'sqrt', 'loss': 'exponential', 'criterion': 'friedman_mse', 'n_estimators': 100}",6,-13.5608760043,-11.7068734859,-13.0863701843,-11.8638680067,-13.3111396593,-11.5748522968,-14.3350750359,-11.6319417616,-14.1602653181,-11.5998289325,-13.585848656,-11.871000483,-13.6607787522,-11.6640517822,-12.920901394,-11.819828633,0.189116816085,0.00400983184326,0.456061002416,0.111766675693
14,8.35395997763,0.0195848047733,-13.7026074089,-9.65287283073,friedman_mse,exponential,sqrt,300,"{'max_features': 'sqrt', 'loss': 'exponential', 'criterion': 'friedman_mse', 'n_estimators': 300}",9,-13.5608864112,-9.6445265538,-12.8366373083,-9.92283603243,-13.5359143378,-9.61954777042,-14.6347769198,-9.53034531127,-14.3350877554,-9.56245863601,-13.9854446154,-9.67306777558,-13.6108409651,-9.54104832106,-13.1208503097,-9.7291522453,0.493850953845,0.00364643015322,0.558299535776,0.120405136797
15,11.9759857357,0.0343241393566,-13.8368612048,-8.01871354365,friedman_mse,exponential,sqrt,500,"{'max_features': 'sqrt', 'loss': 'exponential', 'criterion': 'friedman_mse', 'n_estimators': 500}",15,-13.5858671571,-7.94255247491,-12.8116692819,-8.03175204296,-13.8605836699,-8.02818307892,-14.6597599783,-7.89259763406,-14.4100149609,-8.03175369503,-14.1602716779,-8.08170275367,-14.0603764461,-8.06029681668,-13.1458468171,-8.08086985293,0.0931607150203,0.00663547831299,0.586536937821,0.0629440893878
16,0.424717456102,0.00400272011757,-14.2894625496,-13.9045594212,friedman_mse,exponential,log2,10,"{'max_features': 'log2', 'loss': 'exponential', 'criterion': 'friedman_mse', 'n_estimators': 10}",24,-13.9603863958,-13.8833316958,-13.9354125879,-13.9118752305,-14.0852571701,-13.997509056,-14.8594567797,-13.765586115,-14.6596576437,-13.8191043855,-14.8095004914,-13.9546912346,-14.0602862529,-13.9725336594,-13.9454943634,-13.9318439925,0.0237923137452,0.00114310066807,0.383825559528,0.0738563289093
17,1.80046644807,0.0094036757946,-13.4902966148,-11.864604576,friedman_mse,exponential,log2,100,"{'max_features': 'log2', 'loss': 'exponential', 'criterion': 'friedman_mse', 'n_estimators': 100}",2,-13.710722321,-11.7710990616,-12.8616036001,-11.9744784679,-13.4609813507,-11.8246185711,-14.1352816815,-11.8353215809,-14.0603556323,-11.817480643,-13.6108195731,-11.9566313348,-13.0364277719,-11.8602968124,-13.0458596305,-11.8769101359,0.0294370622007,0.0018326542278,0.447733720089,0.0653179729893
18,4.7604509294,0.0191435217857,-13.7275833297,-9.93608488499,friedman_mse,exponential,log2,300,"{'max_features': 'log2', 'loss': 'exponential', 'criterion': 'friedman_mse', 'n_estimators': 300}",10,-13.9604736982,-9.75513676721,-13.1613020151,-10.1155111899,-13.9105255042,-9.96208406375,-14.3350883336,-9.92283413256,-14.2851360924,-9.87644916439,-13.3610884315,-9.9692153836,-13.6358176638,-9.88001598076,-13.1708323314,-10.0074323978,0.093473870043,0.00185325640046,0.438881243861,0.0991689207089
19,9.48859626055,0.0435788929462,-13.815005702,-8.44955255917,friedman_mse,exponential,log2,500,"{'max_features': 'log2', 'loss': 'exponential', 'criterion': 'friedman_mse', 'n_estimators': 500}",14,-14.1602705216,-8.40640290008,-12.8865947529,-8.59550925874,-13.810632585,-8.36001570163,-14.4849398537,-8.42781057174,-14.5598554959,-8.42067330447,-13.9854515533,-8.47062335434,-13.66079205,-8.31719754982,-12.9708984588,-8.59818783256,0.247487119026,0.014058561381,0.586288198707,0.0952254540945
20,3.50621542335,0.00425219535828,-13.9804010871,-13.3760608125,friedman_mse,exponential,,10,"{'max_features': None, 'loss': 'exponential', 'criterion': 'friedman_mse', 'n_estimators': 10}",20,-13.6607174671,-13.3766810437,-13.6856964785,-13.2946190734,-13.6107675386,-13.373116375,-14.1352273343,-13.3588437404,-14.6097314198,-13.3445668929,-14.3849648356,-13.2375277087,-13.7606173242,-13.4480411607,-13.995497214,-13.5750905049,0.0614265080953,0.000688362706232,0.346048454333,0.0948126545199
21,33.0744325519,0.0113578438759,-13.5183973626,-11.1831110841,friedman_mse,exponential,,100,"{'max_features': None, 'loss': 'exponential', 'criterion': 'friedman_mse', 'n_estimators': 100}",3,-13.8106187091,-11.0788897859,-12.9615005664,-11.4999220592,-13.6108259329,-11.1752274472,-14.2851268418,-11.2394523621,-14.0104091727,-11.0467754699,-13.3610866971,-11.3393524618,-13.361093635,-10.9896857573,-12.7459588215,-11.0955833294,0.40074390843,0.00511602968721,0.484756512094,0.159115130103
22,84.8012413085,0.021644204855,-13.5995817175,-8.68861101207,friedman_mse,exponential,,300,"{'max_features': None, 'loss': 'exponential', 'criterion': 'friedman_mse', 'n_estimators': 300}",7,-14.0353980129,-8.68114250604,-12.8865860805,-9.07363008829,-13.3111454409,-8.5562581711,-14.3350900681,-8.7917542063,-14.16026474,-8.44921659133,-13.810632585,-8.74893225476,-13.2861814617,-8.51700865293,-12.9709007731,-8.69094562579,9.20176076164,0.00534963620531,0.521385748239,0.18263776367
23,123.014180511,0.02877125144,-13.8774499852,-6.70879927942,friedman_mse,exponential,,500,"{'max_features': None, 'loss': 'exponential', 'criterion': 'friedman_mse', 'n_estimators': 500}",16,-14.4599619986,-6.68658449659,-13.2112594597,-6.92564553089,-13.5359247447,-6.52602010314,-14.4349899252,-6.84357976077,-14.6098013773,-6.61522289271,-13.6108502157,-6.87212321284,-13.6607978316,-6.62235735148,-13.4957383264,-6.57886088693,0.483502275243,0.00872882131707,0.501342281563,0.1409242877
