,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_n_components,param_shrinkage,param_solver,param_tol,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.972006469965,0.0161558687687,-13.6620270126,-12.7289799456,5,,svd,0.0001,"{'shrinkage': None, 'n_components': 5, 'tol': 0.0001, 'solver': 'svd'}",1,-14.3850365276,-12.6096177731,-12.8366465589,-12.7880189743,-13.7357111612,-12.8201331251,-14.1852512675,-12.6381591601,-14.3850365276,-12.6203203699,-13.336130234,-12.759473705,-13.4609992737,-12.7202269127,-12.9709048232,-12.8758895449,0.069664067478,0.0259930403636,0.573377544982,0.0926593701685
1,0.665663719177,0.00478899478912,-13.6620270126,-12.7289799456,5,,svd,0.001,"{'shrinkage': None, 'n_components': 5, 'tol': 0.001, 'solver': 'svd'}",1,-14.3850365276,-12.6096177731,-12.8366465589,-12.7880189743,-13.7357111612,-12.8201331251,-14.1852512675,-12.6381591601,-14.3850365276,-12.6203203699,-13.336130234,-12.759473705,-13.4609992737,-12.7202269127,-12.9709048232,-12.8758895449,0.0323202642894,0.00361450570977,0.573377544982,0.0926593701685
2,0.675611495972,0.0045257806778,-13.6620270126,-12.7289799456,5,,svd,1e-05,"{'shrinkage': None, 'n_components': 5, 'tol': 1e-05, 'solver': 'svd'}",1,-14.3850365276,-12.6096177731,-12.8366465589,-12.7880189743,-13.7357111612,-12.8201331251,-14.1852512675,-12.6381591601,-14.3850365276,-12.6203203699,-13.336130234,-12.759473705,-13.4609992737,-12.7202269127,-12.9709048232,-12.8758895449,0.049087343474,0.00228974702865,0.573377544982,0.0926593701685
3,0.660764932632,0.00527900457382,-13.6620270126,-12.7289799456,10,,svd,0.0001,"{'shrinkage': None, 'n_components': 10, 'tol': 0.0001, 'solver': 'svd'}",1,-14.3850365276,-12.6096177731,-12.8366465589,-12.7880189743,-13.7357111612,-12.8201331251,-14.1852512675,-12.6381591601,-14.3850365276,-12.6203203699,-13.336130234,-12.759473705,-13.4609992737,-12.7202269127,-12.9709048232,-12.8758895449,0.0414836145289,0.00289550013122,0.573377544982,0.0926593701685
4,0.715542405844,0.00446900725365,-13.6620270126,-12.7289799456,10,,svd,0.001,"{'shrinkage': None, 'n_components': 10, 'tol': 0.001, 'solver': 'svd'}",1,-14.3850365276,-12.6096177731,-12.8366465589,-12.7880189743,-13.7357111612,-12.8201331251,-14.1852512675,-12.6381591601,-14.3850365276,-12.6203203699,-13.336130234,-12.759473705,-13.4609992737,-12.7202269127,-12.9709048232,-12.8758895449,0.0586968509237,0.000952443714234,0.573377544982,0.0926593701685
5,0.834574133158,0.00378829240799,-13.6620270126,-12.7289799456,10,,svd,1e-05,"{'shrinkage': None, 'n_components': 10, 'tol': 1e-05, 'solver': 'svd'}",1,-14.3850365276,-12.6096177731,-12.8366465589,-12.7880189743,-13.7357111612,-12.8201331251,-14.1852512675,-12.6381591601,-14.3850365276,-12.6203203699,-13.336130234,-12.759473705,-13.4609992737,-12.7202269127,-12.9709048232,-12.8758895449,0.0666118906196,0.000739709536864,0.573377544982,0.0926593701685
6,0.884226024151,0.00584226846695,-13.6620270126,-12.7289799456,30,,svd,0.0001,"{'shrinkage': None, 'n_components': 30, 'tol': 0.0001, 'solver': 'svd'}",1,-14.3850365276,-12.6096177731,-12.8366465589,-12.7880189743,-13.7357111612,-12.8201331251,-14.1852512675,-12.6381591601,-14.3850365276,-12.6203203699,-13.336130234,-12.759473705,-13.4609992737,-12.7202269127,-12.9709048232,-12.8758895449,0.166369791998,0.00731178279288,0.573377544982,0.0926593701685
7,0.975470632315,0.004988104105,-13.6620270126,-12.7289799456,30,,svd,0.001,"{'shrinkage': None, 'n_components': 30, 'tol': 0.001, 'solver': 'svd'}",1,-14.3850365276,-12.6096177731,-12.8366465589,-12.7880189743,-13.7357111612,-12.8201331251,-14.1852512675,-12.6381591601,-14.3850365276,-12.6203203699,-13.336130234,-12.759473705,-13.4609992737,-12.7202269127,-12.9709048232,-12.8758895449,0.127181609263,0.00291843651535,0.573377544982,0.0926593701685
8,0.83135804534,0.00428438186646,-13.6620270126,-12.7289799456,30,,svd,1e-05,"{'shrinkage': None, 'n_components': 30, 'tol': 1e-05, 'solver': 'svd'}",1,-14.3850365276,-12.6096177731,-12.8366465589,-12.7880189743,-13.7357111612,-12.8201331251,-14.1852512675,-12.6381591601,-14.3850365276,-12.6203203699,-13.336130234,-12.759473705,-13.4609992737,-12.7202269127,-12.9709048232,-12.8758895449,0.0654512579518,0.00142764982456,0.573377544982,0.0926593701685
9,1.00273388624,0.00445315241814,-13.6620270126,-12.7289799456,50,,svd,0.0001,"{'shrinkage': None, 'n_components': 50, 'tol': 0.0001, 'solver': 'svd'}",1,-14.3850365276,-12.6096177731,-12.8366465589,-12.7880189743,-13.7357111612,-12.8201331251,-14.1852512675,-12.6381591601,-14.3850365276,-12.6203203699,-13.336130234,-12.759473705,-13.4609992737,-12.7202269127,-12.9709048232,-12.8758895449,0.195644743509,0.0021779587163,0.573377544982,0.0926593701685
10,1.19472050667,0.0038323700428,-13.6620270126,-12.7289799456,50,,svd,0.001,"{'shrinkage': None, 'n_components': 50, 'tol': 0.001, 'solver': 'svd'}",1,-14.3850365276,-12.6096177731,-12.8366465589,-12.7880189743,-13.7357111612,-12.8201331251,-14.1852512675,-12.6381591601,-14.3850365276,-12.6203203699,-13.336130234,-12.759473705,-13.4609992737,-12.7202269127,-12.9709048232,-12.8758895449,0.166449626144,0.000807801891161,0.573377544982,0.0926593701685
11,0.776009500027,0.00943955779076,-13.6620270126,-12.7289799456,50,,svd,1e-05,"{'shrinkage': None, 'n_components': 50, 'tol': 1e-05, 'solver': 'svd'}",1,-14.3850365276,-12.6096177731,-12.8366465589,-12.7880189743,-13.7357111612,-12.8201331251,-14.1852512675,-12.6381591601,-14.3850365276,-12.6203203699,-13.336130234,-12.759473705,-13.4609992737,-12.7202269127,-12.9709048232,-12.8758895449,0.0411493673113,0.00746316922507,0.573377544982,0.0926593701685
12,0.909576296806,0.00416177511215,-13.6620270126,-12.7289799456,,,svd,0.0001,"{'shrinkage': None, 'n_components': None, 'tol': 0.0001, 'solver': 'svd'}",1,-14.3850365276,-12.6096177731,-12.8366465589,-12.7880189743,-13.7357111612,-12.8201331251,-14.1852512675,-12.6381591601,-14.3850365276,-12.6203203699,-13.336130234,-12.759473705,-13.4609992737,-12.7202269127,-12.9709048232,-12.8758895449,0.156588855219,0.00105497361369,0.573377544982,0.0926593701685
13,0.671741127968,0.00417003035545,-13.6620270126,-12.7289799456,,,svd,0.001,"{'shrinkage': None, 'n_components': None, 'tol': 0.001, 'solver': 'svd'}",1,-14.3850365276,-12.6096177731,-12.8366465589,-12.7880189743,-13.7357111612,-12.8201331251,-14.1852512675,-12.6381591601,-14.3850365276,-12.6203203699,-13.336130234,-12.759473705,-13.4609992737,-12.7202269127,-12.9709048232,-12.8758895449,0.0429316949254,0.0010840226,0.573377544982,0.0926593701685
14,0.650359421968,0.0038058757782,-13.6620270126,-12.7289799456,,,svd,1e-05,"{'shrinkage': None, 'n_components': None, 'tol': 1e-05, 'solver': 'svd'}",1,-14.3850365276,-12.6096177731,-12.8366465589,-12.7880189743,-13.7357111612,-12.8201331251,-14.1852512675,-12.6381591601,-14.3850365276,-12.6203203699,-13.336130234,-12.759473705,-13.4609992737,-12.7202269127,-12.9709048232,-12.8758895449,0.0543856145279,0.00138136126185,0.573377544982,0.0926593701685
